"","Date","Stream","Reach","Transect","Quadrat","Order","Family","Count","Size"
"1","2/26/2022","NM",1,5,2,"Ephemeroptera","Heptageniidae",1,5
"2","2/26/2022","NM",1,5,2,"Ephemeroptera","Baetidae",1,5
"3","2/26/2022","NM",1,5,2,"Plecoptera","Capniidae",1,5
"4","2/26/2022","NM",1,3,1,"Ephemeroptera","Heptageniidae",1,5
"5","2/26/2022","NM",1,3,1,"Plecoptera","Perlidae ",1,5
"6","2/26/2022","NM",4,1,1,"Ephemeroptera","Heptageniidae",1,1
"7","2/26/2022","NM",4,1,1,"Ephemeroptera","Heptageniidae",1,5
"8","2/26/2022","NM",4,1,1,"Ephemeroptera","Ephemerellidae",1,5
"9","3/10/2022","NM",4,2,1,"Plecoptera","Perlidae ",1,10
"10","3/11/2022","NM",5,1,2,"Plecoptera","Perlidae ",1,10
"11","3/11/2022","NM",5,1,2,"Ephemeroptera","Heptageniidae",1,5
"12","3/11/2022","NM",5,1,2,"Ephemeroptera","Heptageniidae",1,5
"13","3/11/2022","NM",5,1,2,"Ephemeroptera","Ephemeridae",1,1
"14","3/10/2022","NM",4,1,1,"Ephemeroptera","Heptageniidae",1,10
"15","3/10/2022","NM",4,1,1,"Ephemeroptera","Heptageniidae",1,5
"16","3/10/2022","NM",4,1,1,"Plecoptera","Perlodidae",1,5
"17","3/10/2022","NM",4,1,1,"Ephemeroptera","Baetidae",1,5
"18","3/10/2022","NM",4,1,1,"Ephemeroptera","Baetidae",1,5
"19","3/10/2022","NM",1,3,1,"Ephemeroptera","Heptageniidae",1,10
"20","3/10/2022","NM",1,3,1,"Plecoptera","Perlodidae",1,5
"21","3/10/2022","NM",1,3,1,"Ephemeroptera","Leptophlebiidae",1,5
"22","3/10/2022","NM",1,3,1,"Ephemeroptera","Leptophlebiidae",1,5
"23","3/10/2022","NM",1,3,1,"Trichoptera","Hydropsychidae",1,5
"24","3/10/2022","NM",1,3,1,"Trichoptera","Hydropsychidae",1,5
"25","3/10/2022","NM",1,3,1,"Trichoptera","Rhyacophilidae",1,5
"26","3/11/2022","NM",3,3,2,"Plecoptera","Perlidae ",1,10
"27","3/11/2022","NM",3,3,2,"Ephemeroptera","Leptophlebiidae",1,5
"28","3/11/2022","NM",3,3,2,"Ephemeroptera","Heptageniidae",1,5
"29","3/11/2022","NM",3,3,2,"Ephemeroptera","Heptageniidae",1,1
"30","3/11/2022","NM",3,3,2,"Ephemeroptera","Heptageniidae",1,5
"31","3/11/2022","NM",3,3,2,"Ephemeroptera","Heptageniidae",1,5
"32","3/11/2022","NM",3,3,2,"Plecoptera","Perlodidae",1,5
"33","3/11/2022","NM",3,3,2,"Ephemeroptera","Baetidae",1,5
"34","3/11/2022","NM",5,2,2,"Plecoptera","Perlodidae",1,5
"35","3/11/2022","NM",5,2,2,"Ephemeroptera","Heptageniidae",1,1
"36","3/11/2022","NM",5,5,1,"Ephemeroptera","Heptageniidae",1,5
"37","3/11/2022","NM",5,5,1,"Ephemeroptera","Heptageniidae",1,5
"38","3/11/2022","NM",5,5,1,"Ephemeroptera","Heptageniidae",1,5
